漢字,タイプ,読み方,,,,,,,,
苦,訓読,にが,苦い,苦虫,苦り切る,,,,,
困,音読,こん,困難,困窮,貧困,,,,,
困,訓読,こま,困る,,,,,,,
頼,音読,らい,依頼,信頼,無頼漢,,,,,
頼,訓読,たの,頼む,頼み,頼もしい,,,,,
頼,訓読,たよ,頼る,頼り,,,,,,
労,音読,ろう,労働,労力,疲労,,,,,
老,音読,ろう,老巧,老人,長老,,,,,
老,訓読,お,老いる,老い,,,,,,
老,訓読,ふ,老ける,老け役,,,,,,
類,音読,るい,種類,類型,分類,,,,,
冷,音読,れい,冷却,冷淡,寒冷,,,,,
冷,訓読,つめ,冷たい,,,,,,,
冷,訓読,ひ,冷える,冷や,冷や汗,冷やす,冷やかす,,,
冷,訓読,さ,冷める,冷ます,,,,,,
礼,音読,れい,礼儀,謝礼,無礼,,,,,
礼,音読,らい,礼拝,,,,,,,
利,音読,り,利益,鋭利,勝利,,,,,
利,訓読,き,利く,左利き,口利き,,,,,
例,音読,れい,例外,例ねん,用例,,,,,
例,訓読,たと,例え,例えば,,,,,,
連,音読,れん,連合,連続,関連,,,,,
連,訓読,つら,連なる,連ねる,,,,,,
連,訓読,つ,連れる,連れ,,,,,,
良,音読,りょう,良好,良心,優良,,,,,
良,訓読,よ,良い,,,,,,,
両,音読,りょう,両親,両立,,,,,,
列,音読,れつ,陳列,,,,,,,
留,訓読,りゅう,留意,留学,保留,,,,,
留,訓読,る,留守,,,,,,,
留,音読,と,留める,留まる,,,,,,
流,訓読,りゅう,流行,流動,電流,,,,,
流,訓読,る,流布,流転,流罪,,,,,
流,音読,なが,流れる,流れ,流す,流し,,,,
路,音読,ろ,路上,道路,,,,,,
路,訓読,じ,家路,旅路,山路,,,,,
論,音読,ろん,論証,論理,議論,,,,,
落,音読,らく,落語,落涙,集落,,,,,
落,訓読,お,落ちる,落ち着く,落とす,力落とし,,,,
馬,音読,ば,馬車,競馬,乗馬,,,,,
馬,訓読,うま,馬,,,,,,,
馬,訓読,ま,馬子,,,,,,,
満,音読,まん,満月,満足,充満,,,,,
満,訓読,み,満ちる,満ち潮,満たす,,,,,
忙,音読,ぼう,忙殺,多忙,繁忙,,,,,
忙,訓読,いそが,忙しい,,,,,,,
猫,訓読,ねこ,猫,,,,,,,
美,音読,び,美醜,美術,賛美,,,,,
美,訓読,うつく,美しい,,,,,,,
夢,音読,む,夢中,,,,,,,
夢,訓読,ゆめ,ゆめ,夢見る,初夢,,,,,
迷,音読,めい,迷路,迷惑,低迷,,,,,
迷,訓読,まよ,迷う,,,,,,,
